year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1959,315.42,320.42,321.05,320.09,326.6,333.14,336.37,336.68,344.79,353.41,356.06,356
1960,316.31,320.85,318.71,321.16,327.47,333.8,334.51,338.19,345.82,354.04,353.92,357.59
1961,316.5,320.45,317.66,322.74,327.58,333.43,332.6,339.44,347.25,353.62,352.05,359.05
1962,317.56,319.45,317.14,323.83,329.56,331.73,332.38,340.57,348.17,352.22,352.11,359.98
1963,318.13,317.25,318.7,324.26,329.9,329.9,333.75,341.44,348.74,350.27,353.64,361.03
1964,318,316.11,319.25,325.47,328.92,328.4,334.78,342.53,348.07,348.55,354.89,361.66
1965,316.39,315.27,320.46,326.5,327.88,328.17,336.05,343.39,346.38,348.72,355.88,363.48
1966,314.65,316.53,321.43,327.21,326.16,329.32,336.59,343.96,344.51,349.91,356.63,363.82
1967,313.68,317.53,322.23,326.54,324.68,330.59,337.79,343.18,342.92,351.18,357.72,363.3
1968,313.18,318.58,323.54,325.72,325.04,331.58,338.71,341.88,342.62,352.6,359.07,361.94
1969,314.66,318.92,323.91,323.5,326.34,332.39,339.3,339.65,344.06,352.92,359.58,359.5
1970,315.43,319.7,323.59,322.22,327.39,333.33,339.12,337.81,345.38,353.53,359.17,358.11
1971,316.27,321.22,322.24,321.62,328.37,334.41,337.56,337.69,346.11,355.26,356.94,357.8
1972,316.81,322.08,320.2,322.69,329.4,334.71,335.92,339.09,346.78,355.52,354.92,359.61
1973,317.42,321.31,318.48,323.95,330.14,334.17,333.75,340.32,347.68,354.97,352.94,360.74
1974,318.87,319.58,317.94,324.89,331.33,332.89,333.7,341.2,349.37,353.75,353.23,362.09
1975,319.87,317.61,319.63,325.82,332.31,330.77,335.12,342.35,350.03,351.52,354.09,363.29
1976,319.43,316.05,320.87,326.77,331.9,329.14,336.56,342.93,349.37,349.64,355.33,364.06
1977,318.01,315.83,322.17,327.97,330.7,328.78,337.84,344.77,347.76,349.83,356.63,364.76
1978,315.74,316.91,322.34,327.91,329.15,330.14,338.19,345.58,345.73,351.14,357.1,365.45
1979,314,318.2,322.88,327.5,327.35,331.52,339.91,345.14,344.68,352.37,358.32,365.01
1980,313.68,319.41,324.25,326.18,327.02,332.75,340.6,343.81,343.99,353.5,359.41,363.7
1981,314.84,320.07,324.83,324.53,327.99,333.24,341.29,342.21,345.48,354.55,360.23,361.54
1982,316.03,320.74,323.93,322.93,328.48,334.53,341,339.69,346.72,355.23,359.55,359.51
1983,316.73,321.4,322.38,322.9,329.18,335.9,339.39,339.82,347.84,356.04,357.53,359.65
1984,317.54,322.06,320.76,323.85,330.55,336.57,337.43,340.98,348.29,357,375.48,360.8
1985,318.38,321.73,319.1,324.96,331.32,336.1,335.72,342.82,349.23,356.07,353.67,362.38
1986,319.31,320.27,319.24,326.01,332.48,334.76,335.84,343.52,350.8,354.67,353.95,363.23
1987,320.42,318.54,320.56,326.51,332.92,332.59,336.93,344.33,351.66,352.76,355.3,364.06
1988,319.61,316.54,321.8,327.01,332.08,331.42,338.04,345.11,351.07,350.82,356.78,364.61
1989,318.42,316.71,322.4,327.62,331.01,330.98,339.06,346.88,349.33,351.04,358.34,366.4
1990,316.63,317.53,322.99,328.76,329.23,332.24,340.3,347.25,347.92,352.69,358.89,366.84
1991,314.83,318.55,323.73,328.4,327.27,333.68,341.21,346.62,346.27,354.07,359.95,365.68
1992,315.16,319.27,324.86,327.2,327.21,334.8,342.33,345.22,346.18,354.59,361.25,364.52
1993,315.94,320.28,325.4,325.27,328.29,335.22,342.74,343.11,347.64,355.63,361.67,362.57
1994,316.85,320.73,325.2,323.2,329.41,336.47,342.08,340.9,348.78,357.03,360.94,360.24
1995,317.78,321.97,323.98,323.4,330.23,337.59,340.32,341.18,350.25,358.48,359.55,360.83
1996,318.4,322,321.95,324.63,331.25,337.84,338.26,342.8,351.54,359.22,357.49,362.49
1997,319.53,321.71,320.18,325.85,331.87,337.72,336.52,344.04,352.05,358.12,355.84,364.34
